number,title,avg_rating,customer,,
0,The Directors - Norman Jewison,0,ATVPDKIKX0DER,,
1,Cal Pozo's Learn to Dance in Minutes - Salsa & Merengue,2.5,A16M63QM6X6AC8,,
2,Pearl Jam - Single Video Theory,4.5,A1INX9Q0QLERG9,,
3,A Murder of Crows,4,A2XAZNT7295I6E,,
4,Jack Frost,4.5,AWG8E6OTVG81F,,
5,Dave,4.5,ATVPDKIKX0DER,,
6,Scrooge,3.5,ATVPDKIKX0DER,,
7,Venomous,3,A3O2HQHTLKJZV3,,
8,Samurai Jack - The Premiere Movie,4.5,A95HYGJZG28Q5,,
9,Wes Craven Presents Wishmaster,3.5,A2LNW4SC4XZR87,,
10,Love Beat the Hell Outta Me,2,A3TA260XI9RPC7,,
11,Depeche Mode - Freelove (DVD Single),3,A14GC8O61RXFT9,,
12,Murder by Decree,4.5,A2DMK8F2PCEAOM,,
13,Wind Dancer,5,A3LHXNQTD9JFM4,,
14,Bloodsucking Pharaohs in Pittsburgh,0,A1LU6DXKOCJGY,,
15,Best Of Bob Hope (Road To Bali / My Favorite Brunette),0,A1PAH7677S6KHP,,
16,Aaron Carter - Aaron's Party (Live in Concert!),4,A1UINHOC4JV9XX,,
17,The Day of the Jackal,5,AAN5EC7DW1O83,,
18,Ozzy Osbourne - The Prince Of F*?$!@# Darkness (Unauthorized),2,A1L818GPTUI0KP,,
19,Charlotte Church - In Jerusalem,3.5,A3SCWMS12W9D7E,,
20,Pork Chop Hill,4.5,A1SDWFE0ETD2Z4,,
21,Rocky II,4,A29L4JS9JMD0HP,,
22,The Doom Generation,3,A109ERMRM6TRZ7,,
23,Curse of the Puppet Master,3.5,A8W5W4H4HUDJP,,
24,Doc Hollywood,4,A16813Z0VRBHBA,,
25,Cream: Farewell Concert,2.5,A1W6RE6FBGJZK0,,
26,Movie FX DVD Videomagazine Vol. 1 Issue 1,4.5,A2EQOJ0AT617GB,,
27,Joseph and the Amazing Technicolor Dreamcoat,4,AW1QQ5XF1WDQ6,,
28,Slap Shot (25th Anniversary Special Edition),4.5,ATVPDKIKX0DER,,
29,Kings Go Forth,4.5,ATVPDKIKX0DER,,
30,Town Without Pity,4.5,A2JZZK5RP8YTTX,,
31,Cast a Giant Shadow,4,ATVPDKIKX0DER,,
32,CBGB: Punk From the Bowery,1,ATVPDKIKX0DER,,
33,Hallelujah I'm a Bum,3.5,A886YG5NIGUCI,,
34,Karaoke Sing-Along: Vol. 2,2,ATVPDKIKX0DER,,
35,Confessions of Sorority Girls,4,A3PCXS2DLZXVEX,,
36,Little City,4,ATVPDKIKX0DER,,
37,When Dinosaurs Ruled: At the Ends of The Earth,0,ATVPDKIKX0DER,,
38,Inferno,3.5,A19DNLAJSPW4HC,,
39,World's Most Dangerous Police Videos,2.5,A38HOKZAOPWA2L,,
40,When Dinosaurs Ruled: The Land That Time Forgot,3,A3OFCK4WIL8TFI,,
41,Biggest Wednesday: Condition Black,1,ATVPDKIKX0DER,,
42,Blind Terror,5,A27OQNHA4ZCWAI,,
